"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"03.09.2017","2.461,43","2.470,35","2.471,97","2.446,55","","-0,61%"
"27.08.2017","2.476,55","2.447,35","2.480,38","2.428,20","","1,37%"
"20.08.2017","2.443,05","2.425,50","2.454,77","2.417,35","","0,72%"
"13.08.2017","2.425,55","2.454,96","2.474,93","2.420,69","","-0,65%"
"06.08.2017","2.441,32","2.477,14","2.490,87","2.437,75","","-1,43%"
"30.07.2017","2.476,83","2.475,94","2.480,38","2.466,48","","0,19%"
"23.07.2017","2.472,10","2.472,04","2.484,04","2.459,93","","-0,02%"
"16.07.2017","2.472,54","2.459,50","2.477,62","2.450,34","","0,54%"
"09.07.2017","2.459,27","2.424,51","2.463,54","2.412,79","","1,41%"
"02.07.2017","2.425,18","2.431,39","2.439,17","2.407,70","","0,07%"
"25.06.2017","2.423,41","2.443,32","2.450,42","2.405,70","","-0,61%"
"18.06.2017","2.438,30","2.442,55","2.453,82","2.430,74","","0,21%"
"11.06.2017","2.433,15","2.425,88","2.443,75","2.418,53","","0,06%"
"04.06.2017","2.431,77","2.437,83","2.446,20","2.415,70","","-0,30%"
"28.05.2017","2.439,07","2.411,67","2.440,23","2.403,59","","0,96%"
"21.05.2017","2.415,82","2.387,21","2.418,71","2.386,92","","1,43%"
"14.05.2017","2.381,73","2.393,98","2.405,77","2.352,72","","-0,38%"
"07.05.2017","2.390,90","2.399,94","2.403,87","2.381,74","","-0,35%"
"30.04.2017","2.399,29","2.388,50","2.399,29","2.379,75","","0,63%"
"23.04.2017","2.384,20","2.370,33","2.398,16","2.369,19","","1,51%"
"16.04.2017","2.348,69","2.332,62","2.361,37","2.332,51","","0,85%"
"09.04.2017","2.328,95","2.357,16","2.366,37","2.328,95","","-1,13%"
"02.04.2017","2.355,54","2.362,34","2.378,36","2.344,73","","-0,30%"
"26.03.2017","2.362,72","2.329,11","2.370,42","2.322,25","","0,80%"
"19.03.2017","2.343,98","2.378,24","2.381,93","2.335,74","","-1,44%"
"12.03.2017","2.378,25","2.371,56","2.390,01","2.358,18","","0,24%"
"05.03.2017","2.372,60","2.375,23","2.378,80","2.354,54","","-0,44%"
"26.02.2017","2.383,12","2.365,23","2.400,98","2.358,96","","0,67%"
